Position;FDR;const;points_last_game;average_points;average_minutes;average_assists;average_goals_conceded;average_clean_sheets;
1;2;0.0;0.13322281623297913;-0.3086787959389294;0.06088694297432504;0.0;-0.5972767890717625;0.0;
1;3;0.0;0.18919995971362896;0.0;0.05672794269030658;0.0;-1.079849315929855;-2.7995526455092192;
1;4;0.0;0.1857079500989746;0.0;0.03411054639775173;13.317932639561704;-0.455059757071142;0.0;
1;5;0.0;0.19333648181572083;0.0;0.012988362611287916;29.749791073616812;0.0;0.0;
2;2;0.22468057414772008;0.18214755488937723;0.0;0.04122460073552599;1.0212431915640703;-0.7220500344862527;0.0;
2;3;0.1724035794738702;0.1608490631396824;0.0;0.044049022425399584;0.0;-0.9743033869455092;-1.1152200427657657;
2;4;0.16079867199701597;0.11811986010502647;0.0;0.028378139090512462;1.306263670336414;-0.6537669758708241;0.0;
2;5;0.0;0.0;0.4150420869916609;0.0;0.0;0.0;0.0;
3;2;0.21742638733698536;0.16854421487087004;0.5425304107095241;0.014237808454981666;1.0188068535369923;-0.3592114974308634;0.0;
3;3;0.20037880667227873;0.12419557623672549;0.5181683627967368;0.01969737568087879;0.0;-0.4962062224475911;-1.18350659588076;
3;4;0.19155240805285162;0.11727603878425001;0.3699889954686832;0.01946875562196421;0.0;-0.336764769590969;-1.012975440071486;
3;5;0.1810868430049257;0.08379104158953495;0.3480262845357241;0.0;0.0;0.41703186235553663;0.0;
4;2;0.2474028290209192;0.15388801658013943;0.22782192713306593;0.05585870497776648;0.0;-1.1365341555840922;-2.1867871942642525;
4;3;0.0;0.19265736264926148;0.27711142436205843;0.04211384059296193;0.0;-0.6243170807936514;-2.5757598694979498;
4;4;0.1987977342829389;0.13067957882014702;0.0;0.03692261849641569;1.7234070316712569;-0.6384795367164701;0.0;
4;5;0.0;0.0875686827658868;0.0;0.024483669468158522;0.0;0.0;0.0;
