Position;FDR;const;points_last_game;average_points;average_minutes;average_assists;average_goals_conceded;average_clean_sheets;is_home;
1;2;0.0;0.13341017988058718;-0.30518126397721634;0.05997563449924865;0.0;-0.602324474138505;0.0;0.11297513877131725;
1;3;0.0;0.18919995971362896;0.0;0.05672794269030658;0.0;-1.079849315929855;-2.7995526455092192;0.0;
1;4;0.0;0.1857079500989746;0.0;0.03411054639775173;13.317932639561704;-0.455059757071142;0.0;0.0;
1;5;0.0;0.19333648181572083;0.0;0.012988362611287916;29.749791073616812;0.0;0.0;0.0;
2;2;0.0;0.18457077838163563;0.0;0.041659400142275885;0.9946760217819807;-0.7054893199717897;0.0;0.2975825285399356;
2;3;0.1724035794738702;0.1608490631396824;0.0;0.044049022425399584;0.0;-0.9743033869455092;-1.1152200427657657;0.0;
2;4;0.10216828477833459;0.11921585594234763;0.0;0.028378417520660247;1.2921821141398455;-0.6554632847016302;0.0;0.11132233478053441;
2;5;0.0;0.0;0.4150420869916609;0.0;0.0;0.0;0.0;0.0;
3;2;0.14999458412176245;0.1690077108025837;0.5420898643951413;0.014206416080070422;1.0204497296746273;-0.3571205846849708;0.0;0.1144344398778185;
3;3;0.20037880667227873;0.12419557623672549;0.5181683627967368;0.01969737568087879;0.0;-0.4962062224475911;-1.18350659588076;0.0;
3;4;0.11907251028740504;0.11831814190229094;0.3689958415379074;0.019512112806005576;0.0;-0.34062310623276315;-1.0114012989505603;0.13824945917480203;
3;5;0.1810868430049257;0.08379104158953495;0.3480262845357241;0.0;0.0;0.41703186235553663;0.0;0.0;
4;2;0.2474028290209192;0.15388801658013943;0.22782192713306593;0.05585870497776648;0.0;-1.1365341555840922;-2.1867871942642525;0.0;
4;3;0.0;0.19170786293629738;0.27592078971652834;0.04143792665094029;0.0;-0.6507639381170182;-2.567957266232945;0.166561022564204;
4;4;0.1987977342829389;0.13067957882014702;0.0;0.03692261849641569;1.7234070316712569;-0.6384795367164701;0.0;0.0;
4;5;0.0;0.0875686827658868;0.0;0.024483669468158522;0.0;0.0;0.0;0.0;
